#description: jpscore (0.8.4)
#count: 0
#framerate: 1.00
#geometry: /home/siddharth/Documents/Building Evacuation/project_main/./Dynamic-Evacuation/case_2_single_floor_door_schedule/events_geo.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
#A, B: semi-axes of the ellipse
#ANGLE: orientation of the ellipse
#COLOR: color of the ellipse

#ID	FR	X	Y	Z	A	B	ANGLE	COLOR	
1	0	1.00	9.50	0.00	0.18	0.25	-90.00	0	
2	0	1.00	7.00	0.00	0.18	0.25	-90.00	0	
3	0	1.50	7.50	0.00	0.18	0.25	-90.00	0	
4	0	1.00	9.00	0.00	0.18	0.25	-90.00	0	
5	0	3.00	9.50	0.00	0.18	0.25	-90.00	0	
6	0	1.50	7.00	0.00	0.18	0.25	-90.00	0	
7	0	3.50	7.50	0.00	0.18	0.25	-90.00	0	
8	0	4.50	9.50	0.00	0.18	0.25	-90.00	0	
9	0	0.50	6.50	0.00	0.18	0.25	-90.00	0	
10	0	2.00	7.00	0.00	0.18	0.25	-90.00	0	
11	0	0.50	7.00	0.00	0.18	0.25	-90.00	0	
12	0	0.50	8.00	0.00	0.18	0.25	-90.00	0	
13	0	2.00	8.00	0.00	0.18	0.25	-90.00	0	
14	0	4.00	7.00	0.00	0.18	0.25	-90.00	0	
15	0	3.00	8.00	0.00	0.18	0.25	-90.00	0	
16	0	4.50	9.00	0.00	0.18	0.25	-90.00	0	
17	0	4.50	6.50	0.00	0.18	0.25	-90.00	0	
18	0	0.50	7.50	0.00	0.18	0.25	-90.00	0	
19	0	2.50	9.00	0.00	0.18	0.25	-90.00	0	
20	0	4.50	8.00	0.00	0.18	0.25	-90.00	0	
21	0	1.50	6.50	0.00	0.18	0.25	-90.00	0	
22	0	0.50	9.00	0.00	0.18	0.25	-90.00	0	
23	0	4.00	8.50	0.00	0.18	0.25	-90.00	0	
24	0	1.00	6.50	0.00	0.18	0.25	-90.00	0	
25	0	2.00	7.50	0.00	0.18	0.25	-90.00	0	
26	0	4.00	9.50	0.00	0.18	0.25	-90.00	0	
1	1	1.09	9.32	0.00	0.31	0.22	-61.67	135	
2	1	1.11	6.91	0.00	0.26	0.23	-38.77	84	
3	1	1.58	7.39	0.00	0.26	0.23	-51.28	82	
4	1	1.09	8.83	0.00	0.30	0.23	-58.49	124	
5	1	2.99	9.29	0.00	0.33	0.22	-91.25	148	
6	1	1.62	6.88	0.00	0.27	0.23	-30.67	85	
7	1	3.41	7.31	0.00	0.32	0.22	-113.46	139	
8	1	4.41	9.31	0.00	0.32	0.22	-114.86	145	
9	1	0.62	6.50	0.00	0.25	0.24	0.37	73	
